host_response_time,neighbourhood,zipcode,property_type,room_type,accommodates,bathrooms,bedrooms,bed_type,price,minimum_nights,no_of_reviews,scores_rating,scores_cleanliness,scores_location,cancellation_policy
within a few hours,Queen Anne,98119,House,Private room,2,1,1,Real Bed,53,1,27,96,9,9,moderate
within a day,Central Area,98144,House,Private room,2,1,1,Real Bed,53,2,37,95,9,9,flexible
within a few hours,Central Area,98122,House,Private room,1,1.5,1,Real Bed,54,2,45,95,9,10,flexible
within an hour,Capitol Hill,98102,House,Shared room,1,0.5,1,Real Bed,55,4,10,96,9,10,strict
within an hour,Capitol Hill,98102,House,Private room,2,1,1,Real Bed,55,1,19,95,10,9,moderate
within an hour,Ballard,98107,House,Private room,2,1,1,Real Bed,55,2,86,94,10,10,moderate
within a day,Ballard,98107,House,Private room,2,1,1,Real Bed,55,1,7,94,10,10,flexible
within a day,Ballard,98107,House,Private room,2,1,1,Real Bed,55,1,23,97,10,9,moderate
within a few hours,Ballard,98107,House,Private room,2,1.5,1,Real Bed,55,2,277,97,10,10,moderate
within an hour,Capitol Hill,98112,House,Private room,2,0,1,Real Bed,55,2,6,97,10,9,moderate
within an hour,Capitol Hill,98112,House,Private room,2,0,1,Real Bed,55,2,14,97,10,10,moderate
within an hour,Capitol Hill,98122,House,Shared room,1,0.5,1,Real Bed,55,4,1,80,8,8,strict
within a day,Central Area,98122,House,Private room,2,1,1,Real Bed,55,2,27,90,9,9,moderate
within an hour,Central Area,98122,House,Private room,1,2,1,Real Bed,55,2,70,97,10,10,moderate
within an hour,Beacon Hill,98144,House,Private room,2,1,1,Real Bed,55,1,1,100,10,10,flexible
within a day,Beacon Hill,98144,House,Shared room,2,1,1,Real Bed,55,1,136,94,8,10,moderate
within a few hours,Ballard,98107,House,Private room,2,1,1,Real Bed,57,2,50,96,10,10,moderate
within a few hours,Capitol Hill,98102,House,Private room,1,1,1,Real Bed,58,1,279,95,10,10,strict
within a few hours,Capitol Hill,98102,House,Private room,1,1,1,Real Bed,58,1,263,96,10,10,strict
within a few hours,Central Area,98122,House,Private room,2,1,1,Real Bed,58,1,11,100,10,10,moderate
within an hour,Central Area,98122,House,Private room,2,1.5,1,Real Bed,58,1,49,95,10,9,flexible
within a few hours,Central Area,98122,House,Private room,2,2,1,Real Bed,58,2,68,100,10,10,strict
within a day,Cascade,98102,House,Private room,2,1,1,Real Bed,59,1,16,96,10,10,flexible
within an hour,Central Area,98122,House,Private room,2,1,1,Real Bed,59,1,95,98,10,10,flexible
within an hour,Central Area,98122,House,Private room,2,2,1,Real Bed,59,2,34,96,10,10,flexible
within a few hours,Central Area,98144,House,Private room,3,1.5,1,Real Bed,59,1,15,95,9,9,strict
within a few hours,Rainier Valley,98144,House,Private room,2,1.5,1,Real Bed,59,1,3,100,9,10,strict
within an hour,Central Area,98122,House,Private room,2,1,1,Real Bed,60,1,12,95,10,10,flexible
within an hour,Central Area,98122,House,Private room,2,1,1,Real Bed,60,2,8,100,10,10,flexible
within a few hours,Beacon Hill,98144,House,Private room,2,1.5,1,Real Bed,60,2,70,96,10,9,moderate
within a day,Beacon Hill,98144,House,Private room,1,1,1,Real Bed,60,1,4,90,9,9,flexible
within a few hours,Beacon Hill,98144,House,Private room,2,1,1,Real Bed,60,1,3,80,6,9,flexible
within a few hours,Beacon Hill,98144,House,Private room,1,1,1,Real Bed,60,1,10,98,8,10,flexible
within a few hours,Central Area,98144,House,Private room,2,1.5,1,Real Bed,60,2,27,93,9,8,flexible
within a few hours,Central Area,98144,House,Private room,2,1.5,1,Real Bed,60,2,31,95,9,9,flexible
within a few hours,Capitol Hill,98102,House,Private room,2,2,1,Real Bed,61,2,14,95,9,10,flexible
within a few hours,Capitol Hill,98102,House,Private room,2,2,1,Real Bed,63,2,14,99,10,10,flexible
